content_id,title,category,content_type,difficulty,author,publish_ts,reading_time_sec,tags
c_000001,Environment shoulder,stress,video,intermediate,Ryan Golden,2026-01-07T12:13:59Z,170,"hundred,not"
c_000002,Forward system civil front free early ability job because our,diabetes,video,beginner,Ethan West,2025-07-23T03:13:59Z,223,"western,animal,best"
c_000003,Call trade factor issue,digestive_health,article,beginner,John Johnson,2025-08-14T03:13:59Z,61,"focus,gun,nearly,suddenly,meeting"
c_000004,Start police north whether actually throw,fitness,article,intermediate,Jessica Ryan,2025-12-20T01:13:59Z,809,"style,reflect,pick,voice,these"
c_000005,Minute information member suggest,cold_flu,article,beginner,Molly Miller,2025-12-12T19:13:59Z,869,"message,really"
c_000006,Color front hospital available lead of from,men_health,video,intermediate,Brandon Fuller,2025-09-06T07:13:59Z,97,"add,war,he,drop"
c_000007,Mother rich training police yeah who picture do low concern yeah,men_health,article,advanced,Paul Williams,2025-08-11T04:13:59Z,714,"center,loss,data,against,establish,successful"
c_000008,Rate west plant a,women_health,quiz,advanced,Katrina Mann,2025-04-19T10:13:59Z,504,"beautiful,lead,water,across,stuff,north"
c_000009,Available reason identify world energy line seem friend,weight_loss,video,advanced,Mark Booker,2025-03-12T23:13:59Z,744,"usually,kind,attack,series,true"
c_000010,Head dog bad,weight_loss,quiz,beginner,Amy Stone,2025-07-26T04:13:59Z,803,"note,follow"
c_000011,Trial significant fact structure,mental_health,video,intermediate,Joseph Morgan,2025-05-28T23:13:59Z,627,"call,professional,compare,suffer,perform"
c_000012,It scientist lawyer again last school result,women_health,quiz,intermediate,Joanne Patterson,2025-12-26T21:13:59Z,76,"staff,ahead,cold"
c_000013,Foot might news gas bit risk different now behavior upon during though,cold_flu,video,beginner,Andrew Mason,2025-04-08T18:13:59Z,420,"debate,mouth,decision"
c_000014,Create north be first,digestive_health,article,advanced,Joshua Noble,2025-07-10T03:13:59Z,354,"table,worry,nor,central,stock"
c_000015,Manage huge agreement research stock test,skin_care,video,beginner,Thomas Pittman,2025-03-16T21:13:59Z,217,"wish,card,poor,prove,according,water"
c_000016,Participant manager receive business appear technology gun protect inside grow show gas send,men_health,article,beginner,Catherine Rowland,2025-06-20T08:13:59Z,197,"assume,thought,join,how,month"
c_000017,Stop company next happy TV,stress,video,advanced,Derek Weiss,2025-10-27T20:13:59Z,338,"fund,around,yet,husband,approach"
c_000018,Home blue of white foot,fitness,quiz,beginner,Deborah Gonzales,2025-03-15T07:13:59Z,582,"owner,guy,energy,rock"
c_000019,May town every western,women_health,article,advanced,Alejandro Keller,2025-02-05T18:13:59Z,446,"similar,cause"
c_000020,Movement like my for have walk our allow mean training,women_health,article,intermediate,Theresa Thornton,2025-04-28T22:13:59Z,328,"wear,address,full,show,imagine"
c_000021,Read artist effect collection indeed,women_health,video,beginner,Lawrence Crawford,2026-01-17T03:13:59Z,714,"community,decade,any"
c_000022,Modern shake until style few tend level executive,weight_loss,quiz,beginner,Jeremy Gardner,2025-07-03T18:13:59Z,441,"far,surface,day"
c_000023,Wait attack vote image social,stress,quiz,intermediate,Kelly Gill,2025-12-24T00:13:59Z,610,"least,nation,heavy,class"
c_000024,Care upon with win each decade idea ago include focus air under,heart_health,video,intermediate,Stephen Farrell,2025-11-20T00:13:59Z,189,"say,film,within,cultural,fly,budget"
c_000025,Provide start deep,cold_flu,article,advanced,Isaiah Hernandez,2025-08-14T04:13:59Z,455,"down,join,doctor,Mrs,recognize"
