mkt_event_id,event_ts,user_id,channel,campaign_id,event_type
m_000000001,2026-02-01T17:28:16Z,u_004407,sms,heart_health_month,delivered
m_000000002,2026-01-29T01:43:01Z,u_003825,sms,weight_loss_series,delivered
m_000000003,2026-02-02T05:40:34Z,u_004016,email,weight_loss_series,unsubscribed
m_000000004,2026-02-02T16:21:55Z,u_001947,push,weekly_digest,delivered
m_000000005,2026-01-30T14:57:45Z,u_000470,push,weight_loss_series,opened
m_000000006,2026-01-30T21:10:00Z,u_000519,sms,weight_loss_series,sent
m_000000007,2026-02-01T05:08:28Z,u_002922,push,heart_health_month,delivered
m_000000008,2026-01-27T03:16:22Z,u_002403,email,new_content_alert,sent
m_000000009,2026-01-31T17:28:26Z,u_001897,sms,stress_relief_program,sent
m_000000010,2026-01-30T10:33:36Z,u_004333,sms,sleep_challenge,sent
m_000000011,2026-01-27T21:12:09Z,u_004794,email,weekly_digest,sent
m_000000012,2026-01-28T14:10:14Z,u_004624,sms,heart_health_month,sent
m_000000013,2026-02-01T18:49:59Z,u_003441,sms,stress_relief_program,delivered
m_000000014,2026-01-31T01:08:44Z,u_003029,sms,sleep_challenge,clicked
m_000000015,2026-02-02T19:12:10Z,u_001776,push,stress_relief_program,opened
m_000000016,2026-02-01T15:01:34Z,u_001029,push,weight_loss_series,sent
m_000000017,2026-01-30T00:57:56Z,u_004164,push,weight_loss_series,sent
m_000000018,2026-01-28T16:42:08Z,u_001916,push,new_content_alert,delivered
m_000000019,2026-01-27T19:19:27Z,u_000161,email,sleep_challenge,clicked
m_000000020,2026-01-31T06:40:08Z,u_000735,email,weight_loss_series,sent
m_000000021,2026-01-27T23:40:11Z,u_000671,email,sleep_challenge,sent
m_000000022,2026-01-30T05:21:26Z,u_004066,sms,heart_health_month,sent
m_000000023,2026-01-30T12:46:23Z,u_004313,email,new_content_alert,clicked
m_000000024,2026-01-28T01:29:42Z,u_001980,email,weight_loss_series,sent
m_000000025,2026-01-27T15:26:06Z,u_002231,sms,weight_loss_series,delivered
m_000000026,2026-01-26T22:03:14Z,u_002166,email,heart_health_month,opened
m_000000027,2026-01-27T17:36:30Z,u_003658,sms,weekly_digest,sent
m_000000028,2026-01-29T06:10:20Z,u_000286,sms,new_content_alert,sent
m_000000029,2026-01-28T14:01:27Z,u_002501,sms,sleep_challenge,sent
m_000000030,2026-01-27T16:13:25Z,u_004690,email,weight_loss_series,opened
m_000000031,2026-01-27T12:42:03Z,u_000429,sms,heart_health_month,delivered
m_000000032,2026-01-28T11:58:02Z,u_004310,sms,weekly_digest,sent
m_000000033,2026-01-30T01:13:58Z,u_003864,push,sleep_challenge,sent
m_000000034,2026-01-30T03:43:19Z,u_003514,sms,weight_loss_series,delivered
m_000000035,2026-01-28T06:51:42Z,u_004476,sms,weight_loss_series,sent
m_000000036,2026-01-29T10:04:37Z,u_000117,email,stress_relief_program,sent
m_000000037,2026-01-27T22:16:35Z,u_003666,sms,heart_health_month,opened
m_000000038,2026-02-01T00:01:41Z,u_001006,push,weight_loss_series,sent
m_000000039,2026-01-30T08:28:22Z,u_000372,email,sleep_challenge,sent
m_000000040,2026-01-27T19:27:14Z,u_001015,email,new_content_alert,sent
m_000000041,2026-01-30T10:25:03Z,u_002829,email,heart_health_month,delivered
m_000000042,2026-01-28T05:51:50Z,u_002727,sms,weekly_digest,delivered
m_000000043,2026-01-29T22:25:50Z,u_002632,email,sleep_challenge,sent
m_000000044,2026-02-02T03:01:42Z,u_000139,email,new_content_alert,delivered
m_000000045,2026-01-31T22:56:16Z,u_003001,email,new_content_alert,sent
m_000000046,2026-01-27T08:38:45Z,u_001005,push,new_content_alert,clicked
m_000000047,2026-01-31T23:29:54Z,u_001325,email,weight_loss_series,sent
m_000000048,2026-01-28T22:41:29Z,u_004876,push,heart_health_month,sent
m_000000049,2026-01-30T17:45:08Z,u_000807,email,stress_relief_program,sent
m_000000050,2026-01-29T04:42:57Z,u_003613,push,heart_health_month,opened
m_000000051,2026-02-02T11:55:33Z,u_002046,sms,sleep_challenge,opened
m_000000052,2026-01-31T06:11:04Z,u_004561,sms,stress_relief_program,sent
m_000000053,2026-01-29T03:52:34Z,u_004245,sms,stress_relief_program,delivered
m_000000054,2026-01-27T18:41:45Z,u_003723,email,weekly_digest,opened
m_000000055,2026-02-01T17:15:53Z,u_003321,push,weight_loss_series,sent
m_000000056,2026-01-31T04:46:30Z,u_003188,push,weight_loss_series,sent
m_000000057,2026-01-28T08:42:56Z,u_001135,push,weekly_digest,delivered
m_000000058,2026-01-27T20:08:27Z,u_003631,email,stress_relief_program,opened
m_000000059,2026-02-01T20:37:15Z,u_000564,push,heart_health_month,sent
m_000000060,2026-01-31T06:31:21Z,u_002044,sms,weekly_digest,sent
m_000000061,2026-02-02T14:20:06Z,u_000266,push,stress_relief_program,sent
m_000000062,2026-01-30T16:49:39Z,u_003037,push,weekly_digest,sent
m_000000063,2026-01-27T04:11:15Z,u_001071,sms,weekly_digest,delivered
m_000000064,2026-01-30T20:53:04Z,u_001943,email,heart_health_month,sent
