event_id,event_ts,user_id,session_id,event_type,device,traffic_source,content_id,search_query,dwell_time_sec
e_000000001,2026-02-02T19:51:15Z,u_000451,s_00919768,bookmark,web,push,c_000313,,
e_000000002,2026-02-02T02:03:57Z,u_000804,s_00351802,search,web,seo,,how to sleep better,
e_000000003,2026-01-31T09:57:12Z,u_000321,s_00418220,app_open,android,email,,,178.0
e_000000004,2026-01-28T12:36:29Z,u_004794,s_03613738,click_recommendation,android,paid,c_001308,,
e_000000005,2026-01-28T17:26:10Z,u_004464,s_05140477,share,ios,direct,c_000655,,
e_000000006,2026-02-02T17:25:30Z,u_002466,s_05343469,share,android,direct,c_000778,,
e_000000007,2026-01-30T12:07:58Z,u_002602,s_00043257,bookmark,android,seo,c_000208,,
e_000000008,2026-01-30T16:28:39Z,u_004448,s_02348941,share,android,direct,c_001288,,
e_000000009,2026-02-02T15:17:28Z,u_004464,s_07680374,view_content,android,direct,c_001442,,193.0
e_000000010,2026-02-01T20:00:46Z,u_002986,s_03652360,bookmark,android,social,c_000685,,
e_000000011,2026-02-02T00:34:15Z,u_004124,s_04160952,view_content,web,social,c_001292,,357.0
e_000000012,2026-02-01T12:42:28Z,u_002061,s_05320717,bookmark,ios,email,c_001361,,
e_000000013,2026-02-02T16:18:41Z,u_001507,s_04014840,email_open,android,seo,,,
e_000000014,2026-01-31T21:27:45Z,u_001034,s_02870627,app_open,web,paid,,,119.0
e_000000015,2026-02-01T11:46:54Z,u_000665,s_09849120,share,android,email,c_000529,,
e_000000016,2026-01-27T13:28:15Z,u_001114,s_00438866,share,web,social,c_001269,,
e_000000017,2026-01-31T20:20:07Z,u_004400,s_00833397,search,android,email,,weight loss plan,
e_000000018,2026-01-30T03:16:41Z,u_001772,s_09857840,view_content,ios,social,c_001252,,453.0
e_000000019,2026-01-27T05:35:21Z,u_002909,s_06479511,view_content,web,direct,c_000173,,305.0
e_000000020,2026-01-27T01:24:01Z,u_000374,s_06394070,bookmark,web,paid,c_001039,,
e_000000021,2026-01-27T17:25:40Z,u_004085,s_07703791,share,ios,paid,c_000794,,
e_000000022,2026-01-29T19:35:11Z,u_003681,s_06061777,app_open,ios,push,,,203.0
e_000000023,2026-02-02T08:36:54Z,u_000459,s_02977888,search,ios,push,,workout for beginners,
e_000000024,2026-01-31T14:57:48Z,u_001340,s_05005737,click_recommendation,android,push,c_001156,,
e_000000025,2026-02-01T19:19:51Z,u_004663,s_01807006,search,ios,paid,,high protein foods,
e_000000026,2026-02-02T12:26:39Z,u_000389,s_09609216,share,ios,direct,c_000584,,
e_000000027,2026-01-28T11:53:30Z,u_000978,s_04802629,email_open,ios,push,,,
e_000000028,2026-01-29T04:06:48Z,u_003687,s_01158971,view_content,web,direct,c_001321,,357.0
e_000000029,2026-01-28T21:34:01Z,u_003327,s_06703565,view_content,android,social,c_000627,,446.0
e_000000030,2026-02-02T12:57:57Z,u_000205,s_09953898,view_content,ios,email,c_000082,,553.0
e_000000031,2026-01-29T17:57:08Z,u_004184,s_00247694,share,web,push,c_000402,,
e_000000032,2026-02-02T19:23:33Z,u_004794,s_02766433,share,web,paid,c_000441,,
e_000000033,2026-01-29T17:00:49Z,u_001278,s_02667960,share,web,push,c_000399,,
e_000000034,2026-01-30T14:09:06Z,u_002658,s_07296138,bookmark,ios,seo,c_000764,,
e_000000035,2026-01-30T05:51:21Z,u_004793,s_02713205,app_open,ios,paid,,,42.0
e_000000036,2026-01-27T06:00:05Z,u_001351,s_04559876,email_open,web,paid,,,
e_000000037,2026-02-01T13:32:56Z,u_003867,s_05484099,share,android,email,c_000324,,
e_000000038,2026-01-31T20:51:23Z,u_001436,s_03695624,click_recommendation,android,direct,c_000848,,
e_000000039,2026-01-29T11:01:18Z,u_001985,s_04696655,app_open,android,paid,,,61.0
e_000000040,2026-01-31T09:10:57Z,u_004295,s_07144966,view_content,ios,push,c_000898,,505.0
e_000000041,2026-01-28T03:47:47Z,u_004943,s_09330797,app_open,ios,social,,,500.0
e_000000042,2026-01-26T21:59:22Z,u_000238,s_04495752,search,ios,paid,,high protein foods,
e_000000043,2026-02-02T08:30:01Z,u_004341,s_06870466,app_open,ios,direct,,,367.0
e_000000044,2026-01-29T07:49:41Z,u_001832,s_09404777,email_open,ios,social,,,
e_000000045,2026-02-02T04:31:04Z,u_004813,s_02881572,app_open,android,seo,,,269.0
e_000000046,2026-01-27T06:13:44Z,u_002175,s_01004966,app_open,android,paid,,,156.0
e_000000047,2026-02-02T12:38:50Z,u_001065,s_00172459,click_recommendation,android,paid,c_000817,,
e_000000048,2026-01-30T01:38:33Z,u_003325,s_01803862,app_open,android,social,,,390.0
e_000000049,2026-01-27T15:02:23Z,u_004215,s_07418902,app_open,android,paid,,,184.0
e_000000050,2026-01-29T00:53:50Z,u_002143,s_08889185,click_recommendation,web,paid,c_000866,,
e_000000051,2026-01-27T02:54:25Z,u_004239,s_09515283,bookmark,web,direct,c_000352,,
e_000000052,2026-01-31T19:46:50Z,u_003828,s_01168737,search,web,push,,lower blood pressure,
e_000000053,2026-01-26T21:01:55Z,u_001592,s_00032143,email_open,ios,push,,,
e_000000054,2026-01-30T16:20:14Z,u_001964,s_03075113,bookmark,ios,social,c_000543,,
e_000000055,2026-01-29T19:28:27Z,u_001711,s_04152364,search,ios,direct,,stress management tips,
e_000000056,2026-01-31T06:49:31Z,u_003968,s_02116326,app_open,ios,push,,,483.0
e_000000057,2026-02-02T08:20:26Z,u_001869,s_08839771,bookmark,android,paid,c_001305,,
e_000000058,2026-01-28T23:42:28Z,u_000710,s_03467650,bookmark,android,push,c_000816,,
e_000000059,2026-01-27T01:57:20Z,u_001114,s_01112098,share,web,social,c_000951,,
e_000000060,2026-01-27T14:10:48Z,u_003805,s_04831824,app_open,web,email,,,117.0
e_000000061,2026-01-29T18:08:10Z,u_000319,s_08879423,share,android,push,c_000125,,
e_000000062,2026-01-29T18:48:49Z,u_003009,s_09060678,bookmark,android,email,c_000484,,
e_000000063,2026-01-31T20:06:09Z,u_003103,s_02713639,bookmark,ios,direct,c_000019,,
e_000000064,2026-01-29T20:16:48Z,u_002341,s_04719047,view_content,web,push,c_000333,,40.0
e_000000065,2026-02-02T19:32:24Z,u_001575,s_09309656,view_content,android,direct,c_000531,,348.0
e_000000066,2026-01-30T03:00:43Z,u_004123,s_04683222,search,android,push,,how to sleep better,
e_000000067,2026-01-30T18:36:16Z,u_001067,s_07219743,click_recommendation,web,social,c_001389,,
e_000000068,2026-02-01T14:52:48Z,u_002619,s_02449065,share,web,direct,c_000358,,
e_000000069,2026-02-02T08:29:28Z,u_004422,s_00476631,app_open,android,seo,,,411.0
e_000000070,2026-01-29T11:14:24Z,u_002236,s_03500838,app_open,android,direct,,,563.0
e_000000071,2026-01-29T08:48:47Z,u_001012,s_06671869,click_recommendation,ios,seo,c_000782,,
e_000000072,2026-01-31T07:00:07Z,u_000046,s_06326220,view_content,ios,direct,c_001003,,122.0
e_000000073,2026-01-29T01:21:03Z,u_001479,s_00241428,view_content,android,email,c_000556,,338.0
e_000000074,2026-01-27T17:55:42Z,u_001823,s_02572445,click_recommendation,android,social,c_000310,,
e_000000075,2026-01-28T04:53:09Z,u_000383,s_07077904,email_open,ios,seo,,,
e_000000076,2026-01-30T13:02:03Z,u_002478,s_00062911,app_open,android,push,,,588.0
e_000000077,2026-01-31T23:43:50Z,u_001089,s_02043535,app_open,ios,email,,,121.0
e_000000078,2026-01-30T03:21:25Z,u_000582,s_06501979,app_open,android,direct,,,265.0
e_000000079,2026-01-28T22:03:24Z,u_000545,s_00587206,bookmark,android,paid,c_000215,,
e_000000080,2026-01-29T18:26:22Z,u_004800,s_02203665,app_open,ios,direct,,,301.0
e_000000081,2026-02-01T15:33:06Z,u_004201,s_07519613,share,android,push,c_000298,,
e_000000082,2026-01-28T09:26:30Z,u_002913,s_01930818,search,ios,paid,,stress management tips,
e_000000083,2026-01-29T00:08:14Z,u_003646,s_06950094,email_open,web,social,,,
e_000000084,2026-01-26T22:55:37Z,u_000411,s_04629945,app_open,android,push,,,316.0
e_000000085,2026-01-31T09:55:05Z,u_001806,s_09596030,share,ios,direct,c_000953,,
e_000000086,2026-01-30T03:08:27Z,u_001482,s_06882378,bookmark,android,paid,c_000101,,
e_000000087,2026-01-28T19:10:51Z,u_003325,s_03154776,email_open,ios,social,,,
e_000000088,2026-01-29T01:23:17Z,u_000150,s_03548465,search,web,social,,workout for beginners,
e_000000089,2026-01-30T20:59:57Z,u_003492,s_00325549,share,ios,email,c_001070,,
e_000000090,2026-01-27T07:05:27Z,u_003451,s_05051345,share,web,direct,c_001283,,
e_000000091,2026-02-01T12:23:52Z,u_003939,s_09448953,search,android,paid,,workout for beginners,
e_000000092,2026-01-27T09:38:42Z,u_000166,s_07490503,view_content,ios,push,c_000004,,373.0
e_000000093,2026-01-28T11:21:09Z,u_003110,s_04569608,search,ios,email,,diabetes symptoms,
e_000000094,2026-01-27T18:15:19Z,u_003725,s_07096407,email_open,android,email,,,
e_000000095,2026-01-27T06:42:49Z,u_003151,s_02052655,share,android,email,c_000875,,
e_000000096,2026-01-31T19:34:04Z,u_003890,s_06256421,click_recommendation,web,push,c_001461,,
e_000000097,2026-02-01T08:32:14Z,u_002698,s_02728242,search,ios,direct,,lower blood pressure,
e_000000098,2026-02-02T14:01:09Z,u_001304,s_09426414,bookmark,web,social,c_001097,,
e_000000099,2026-02-01T07:24:51Z,u_002593,s_07370018,email_open,android,email,,,
e_000000100,2026-02-02T06:53:05Z,u_004510,s_07018559,bookmark,ios,push,c_000261,,
e_000000101,2026-01-28T00:02:02Z,u_001029,s_05282039,email_open,ios,direct,,,
e_000000102,2026-01-26T22:15:57Z,u_001356,s_09513035,email_open,web,direct,,,
e_000000103,2026-01-29T07:17:24Z,u_002286,s_09631357,share,web,push,c_001090,,
e_000000104,2026-01-31T22:29:30Z,u_002284,s_09763147,search,web,seo,,healthy breakfast ideas,
e_000000105,2026-01-30T00:06:43Z,u_001122,s_00129267,share,ios,paid,c_001351,,
e_000000106,2026-02-02T20:13:38Z,u_000395,s_05466918,search,ios,paid,,high protein foods,
e_000000107,2026-01-28T01:23:35Z,u_003640,s_00653145,bookmark,android,social,c_000397,,
